iter	Passed	Remaining
416	3140	4390
417	3148	4383
418	3155	4375
419	3168	4375
420	3175	4367
421	3183	4360
422	3192	4354
423	3201	4349
424	3209	4342
425	3217	4334
426	3225	4328
427	3234	4322
428	3247	4322
429	3258	4318
430	3271	4318
431	3286	4320
432	3296	4316
433	3307	4313
434	3317	4309
435	3326	4303
436	3339	4302
437	3348	4296
438	3358	4292
439	3364	4281
440	3374	4276
441	3430	4330
442	3472	4365
443	3491	4372
444	3496	4360
445	3513	4364
446	3521	4356
447	3530	4350
448	3536	4340
449	3544	4331
450	3552	4325
451	3561	4317
452	3568	4308
453	3576	4300
454	3584	4293
455	3592	4285
456	3600	4278
457	3605	4266
458	3609	4254
459	3616	4245
460	3624	4237
461	3628	4225
462	3635	4216
463	3641	4206
464	3649	4198
465	3655	4188
466	3662	4179
467	3669	4171
468	3676	4161
469	3685	4155
470	3692	4147
471	3700	4139
472	3707	4131
473	3714	4122
474	3721	4113
475	3882	4274
476	3949	4330
477	3978	4344
478	3991	4341
479	4005	4338
480	4011	4328
481	4020	4321
482	4029	4313
483	4037	4304
484	4046	4296
485	4050	4283
486	4061	4278
487	4073	4273
488	4079	4263
489	4089	4256
490	4098	4248
491	4107	4241
492	4115	4232
493	4123	4223
494	4130	4214
495	4140	4207
496	4149	4199
497	4156	4189
498	4166	4183
499	4173	4173
500	4183	4166
501	4190	4156
502	4199	4149
503	4206	4139
504	4211	4127
505	4218	4118
506	4228	4111
507	4237	4104
508	4246	4096
509	4255	4088
510	4263	4080
511	4273	4073
512	4281	4064
513	4292	4058
514	4302	4051
515	4311	4044
516	4321	4037
517	4331	4030
518	4341	4023
519	4350	4016
520	4360	4008
521	4370	4002
522	4382	3997
523	4392	3990
524	4400	3981
525	4414	3977
526	4432	3978
527	4447	3975
528	4459	3970
529	4474	3967
530	4482	3959
531	4496	3955
532	4509	3950
533	4522	3946
534	4535	3942
535	4547	3936
536	4564	3935
537	4578	3932
538	4585	3921
539	4598	3917
540	4615	3915
541	4625	3908
542	4637	3903
543	4647	3895
544	4663	3893
545	4682	3893
546	4689	3883
547	4699	3876
548	4709	3869
549	4719	3861
550	4724	3849
551	4733	3841
552	4744	3834
553	4753	3826
554	4763	3819
555	4777	3815
556	4794	3813
557	4808	3808
558	4821	3804
559	4847	3809
560	4863	3806
561	4874	3798
562	4884	3791
563	4898	3787
564	4909	3779
565	4918	3771
566	4927	3763
567	4937	3755
568	4953	3751
569	4968	3748
570	4983	3743
571	4991	3734
572	5002	3728
573	5012	3719
574	5020	3710
575	5029	3702
576	5037	3692
577	5046	3684
578	5055	3675
579	5063	3666
580	5071	3657
581	5082	3650
582	5091	3642
583	5101	3633
584	5110	3625
585	5115	3614
586	5122	3604
587	5130	3595
588	5138	3585
589	5147	3576
590	5156	3568
591	5164	3559
592	5173	3550
593	5182	3542
594	5190	3533
595	5200	3525
596	5207	3515
597	5214	3505
598	5223	3496
599	5232	3488
600	5239	3478
601	5248	3470
602	5259	3462
603	5269	3454
604	5280	3447
605	5285	3436
606	5294	3428
607	5304	3419
608	5312	3410
609	5321	3402
610	5329	3392
611	5336	3383
612	5344	3374
613	5352	3364
614	5360	3355
615	5368	3346
616	5375	3337
617	5383	3327
618	5391	3318
619	5399	3309
620	5406	3299
621	5416	3291
622	5423	3282
623	5432	3273
624	5440	3264
625	5454	3258
626	5465	3251
627	5473	3242
628	5482	3233
629	5490	3224
630	5499	3215
631	5507	3207
632	5515	3197
633	5523	3188
634	5532	3180
635	5541	3171
636	5554	3165
637	5568	3159
638	5580	3152
639	5592	3145
640	5601	3136
641	5611	3128
642	5619	3120
643	5629	3112
644	5638	3103
645	5647	3094
646	5655	3085
647	5663	3076
648	5672	3067
649	5680	3058
650	5699	3055
651	5720	3053
652	5738	3049
653	5754	3044
654	5767	3038
655	5778	3030
656	5790	3022
657	5801	3015
658	5813	3008
659	5825	3001
660	5837	2993
661	5845	2984
662	5857	2977
663	5869	2970
664	5878	2961
665	5886	2952
666	5894	2942
667	5903	2933
668	5911	2924
669	5920	2916
670	5929	2907
671	5936	2897
672	5943	2887
673	5951	2878
674	5960	2869
675	5968	2860
676	5978	2852
677	5986	2843
678	5993	2833
679	6003	2824
680	6011	2815
681	6019	2806
682	6030	2799
683	6041	2791
684	6051	2782
685	6060	2774
686	6069	2765
687	6077	2756
688	6086	2747
689	6095	2738
690	6106	2730
691	6115	2721
692	6124	2712
693	6131	2703
694	6139	2694
695	6146	2684
696	6154	2675
697	6161	2666
698	6169	2656
699	6177	2647
700	6185	2638
701	6194	2629
702	6202	2620
703	6211	2611
704	6219	2602
705	6228	2593
706	6235	2584
707	6244	2575
708	6252	2566
709	6261	2557
710	6269	2548
711	6277	2539
712	6285	2530
713	6294	2521
714	6303	2512
715	6309	2502
716	6317	2493
717	6325	2484
718	6333	2475
719	6340	2465
720	6348	2456
721	6357	2447
722	6364	2438
723	6371	2428
724	6379	2419
725	6387	2410
726	6395	2401
727	6403	2392
728	6411	2383
729	6419	2374
730	6426	2364
731	6432	2355
732	6441	2346
733	6449	2337
734	6457	2328
735	6466	2319
736	6474	2310
737	6482	2301
738	6490	2292
739	6497	2283
740	6505	2273
741	6513	2264
742	6521	2255
743	6527	2246
744	6535	2236
745	6544	2228
746	6553	2219
747	6563	2211
748	6571	2202
749	6579	2193
750	6586	2183
751	6593	2174
752	6600	2165
753	6610	2156
754	6618	2147
755	6627	2138
756	6635	2129
757	6642	2120
758	6650	2111
759	6659	2102
760	6666	2093
761	6673	2084
762	6682	2075
763	6689	2066
764	6698	2057
765	6706	2048
766	6714	2039
767	6721	2030
768	6729	2021
769	6738	2012
770	6746	2003
771	6754	1994
772	6762	1985
773	6769	1976
774	6776	1967
775	6783	1958
776	6791	1949
777	6797	1939
778	6804	1930
779	6812	1921
780	6818	1912
781	6826	1902
782	6833	1893
783	6841	1885
784	6850	1876
785	6858	1867
786	6865	1858
787	6873	1849
788	6880	1839
789	6888	1831
790	6895	1822
791	6902	1812
792	6910	1803
793	6919	1795
794	6927	1786
795	6934	1777
796	6942	1768
797	6948	1758
798	6955	1749
799	6963	1740
800	6970	1731
801	6978	1722
802	6984	1713
803	6992	1704
804	6998	1695
805	7005	1686
806	7012	1677
807	7020	1668
808	7027	1659
809	7033	1649
810	7040	1640
811	7048	1631
812	7056	1623
813	7063	1614
814	7070	1604
815	7076	1595
816	7083	1586
817	7089	1577
818	7096	1568
819	7104	1559
820	7111	1550
821	7119	1541
822	7127	1532
823	7135	1524
824	7142	1515
825	7149	1506
826	7156	1497
827	7163	1488
828	7171	1479
829	7180	1470
830	7186	1461
831	7194	1452
832	7201	1443
833	7209	1434
834	7216	1426
835	7226	1417
836	7234	1408
837	7242	1400
838	7251	1391
839	7260	1383
840	7269	1374
841	7278	1365
842	7287	1357
843	7296	1348
844	7305	1340
845	7313	1331
846	7322	1322
847	7330	1314
848	7340	1305
849	7349	1296
850	7357	1288
851	7365	1279
852	7373	1270
853	7381	1261
854	7390	1253
855	7398	1244
856	7410	1236
857	7421	1228
858	7433	1220
859	7444	1211
860	7454	1203
861	7461	1194
862	7471	1186
863	7484	1178
864	7494	1169
865	7501	1160
866	7509	1151
867	7516	1143
868	7523	1134
869	7529	1125
870	7537	1116
871	7543	1107
872	7551	1098
873	7557	1089
874	7564	1080
875	7572	1071
876	7579	1063
877	7586	1054
878	7594	1045
879	7602	1036
880	7610	1028
881	7619	1019
882	7627	1010
883	7635	1001
884	7643	993
885	7652	984
886	7663	976
887	7671	967
888	7678	958
889	7687	950
890	7694	941
891	7704	932
892	7712	924
893	7724	915
894	7732	907
895	7742	898
896	7750	889
897	7759	881
898	7767	872
899	7775	863
900	7783	855
901	7790	846
902	7797	837
903	7804	828
904	7811	820
905	7817	811
906	7825	802
907	7832	793
908	7839	784
909	7846	776
910	7854	767
911	7862	758
912	7870	749
913	7877	741
914	7883	732
915	7891	723
916	7899	714
917	7906	706
918	7914	697
919	7921	688
920	7928	680
921	7934	671
922	7942	662
923	7951	653
924	7959	645
925	7968	636
926	7982	628
927	7995	620
928	8004	611
929	8013	603
930	8022	594
931	8033	586
932	8044	577
933	8053	569
934	8063	560
935	8074	552
936	8083	543
937	8094	535
938	8105	526
939	8115	518
940	8127	509
941	8137	501
942	8145	492
943	8157	483
944	8167	475
945	8177	466
946	8187	458
947	8197	449
948	8209	441
949	8217	432
950	8228	423
951	8239	415
952	8247	406
953	8254	398
954	8262	389
955	8269	380
956	8277	371
957	8285	363
958	8294	354
959	8302	345
960	8311	337
961	8320	328
962	8329	320
963	8336	311
964	8344	302
965	8351	293
966	8360	285
967	8367	276
968	8374	267
969	8382	259
970	8391	250
971	8399	241
972	8406	233
973	8414	224
974	8421	215
975	8429	207
976	8437	198
977	8446	190
978	8454	181
979	8462	172
980	8471	164
981	8479	155
982	8487	146
983	8494	138
984	8501	129
985	8510	120
986	8519	112
987	8526	103
988	8533	94
989	8542	86
990	8549	77
991	8556	69
992	8564	60
993	8571	51
994	8579	43
995	8588	34
996	8595	25
997	8603	17
998	8611	8
999	8619	0
