iter	Logloss
0	0.688812044
1	0.6846778232
2	0.6807419237
3	0.6769175568
4	0.6729283927
5	0.6693781314
6	0.665841284
7	0.6629129862
8	0.6600431029
9	0.6567844887
10	0.6541705338
11	0.6511628348
12	0.6490129549
13	0.6460399557
14	0.6433886877
15	0.6407647883
16	0.6381200476
17	0.6358757073
18	0.633472019
19	0.6314396311
20	0.6295764862
21	0.6274712794
22	0.6253340275
23	0.6234275326
24	0.6217160457
25	0.6199958191
26	0.6181217056
27	0.6161361883
28	0.6143171343
29	0.6126617156
30	0.6112181155
31	0.6098374316
32	0.6083603238
33	0.6074263825
34	0.6059928703
35	0.6045995667
36	0.6035678006
37	0.6022714032
38	0.6011882112
39	0.6001853634
40	0.5990503169
41	0.5984739017
42	0.5972877675
43	0.5961466611
44	0.5953530779
45	0.5945318893
46	0.5935351271
47	0.5925348483
48	0.5920564634
49	0.5911917761
50	0.5901844231
51	0.5894187019
52	0.5887419794
53	0.588020984
54	0.5872200684
55	0.5866091633
56	0.585950739
57	0.5851698789
58	0.5846007869
59	0.5841336829
60	0.5833747424
61	0.5827427918
62	0.5823516082
63	0.5816743202
64	0.5809111564
65	0.580381529
66	0.5796845096
67	0.5790969524
68	0.5786314857
69	0.5783337033
70	0.5779485584
71	0.5775876136
72	0.5771807283
73	0.5769217529
74	0.5766249632
75	0.5761864066
76	0.5760127117
77	0.5755916695
78	0.5751458651
79	0.5747115784
80	0.5742625641
81	0.5739212659
82	0.5735309477
83	0.5730819117
84	0.5726539243
85	0.5723743156
86	0.5721641427
87	0.5717580984
88	0.5715230395
89	0.5712118115
90	0.570949187
91	0.5706633942
92	0.5702490236
93	0.5700587278
94	0.5696690854
95	0.5693551539
96	0.5690153599
97	0.5687563846
98	0.5685542225
99	0.5681784107
100	0.5679213717
101	0.5676939065
102	0.567503655
103	0.5673543454
104	0.5671232489
105	0.5668720498
106	0.5667823854
107	0.5666615784
108	0.5665860161
109	0.5662755739
110	0.5659329712
111	0.5656558344
112	0.5653404139
113	0.5651552547
114	0.5648763486
115	0.5647903691
116	0.5646847378
117	0.5644124978
118	0.5641156958
119	0.5638560906
120	0.5635241683
121	0.5633638305
122	0.5631921308
123	0.5630420309
124	0.5629724643
125	0.5627999958
126	0.5626276226
127	0.5625130846
128	0.5623369538
129	0.5621449647
130	0.5620941256
131	0.5618606786
132	0.5616744084
133	0.5614354214
134	0.5613615869
135	0.5612998373
136	0.5611252022
137	0.5610476777
138	0.5608569459
139	0.560718097
140	0.5606730485
141	0.5606218584
142	0.5604517744
143	0.5604153011
144	0.5602538128
145	0.5601415294
146	0.5599653545
147	0.5598577966
148	0.5598105943
149	0.5596936352
150	0.5595461745
151	0.559493426
152	0.5594712817
153	0.5594530613
154	0.5593318202
155	0.559177235
156	0.5590358029
157	0.5588439401
158	0.5587282231
159	0.5586013826
160	0.5585015832
161	0.5583041807
162	0.5582759796
163	0.5581639276
164	0.5580445411
165	0.5580445411
166	0.5580235065
167	0.5579055969
168	0.5577019804
169	0.5574990745
170	0.557364653
171	0.5572514748
172	0.5571250436
173	0.5570356824
174	0.5568944853
175	0.556831821
176	0.5567276036
177	0.5566687367
178	0.5566632298
179	0.5565023895
180	0.5563724781
181	0.5562179966
182	0.5561173764
183	0.5560366218
184	0.5558986972
185	0.5558330556
186	0.5557253776
187	0.5557138229
188	0.555704236
189	0.5556601913
190	0.5556294228
191	0.5556142376
192	0.5554890595
193	0.5552910864
194	0.5551354508
195	0.5550292662
196	0.5549073132
197	0.5547894793
198	0.5547097347
199	0.5545373825
200	0.5544693636
201	0.5544500355
202	0.5543700335
203	0.5543077747
204	0.554206583
205	0.5540671194
206	0.5538446383
207	0.5537995454
208	0.5536804146
209	0.5536433289
210	0.5535862603
211	0.5535241183
212	0.553490707
213	0.5534585025
214	0.5533436601
215	0.5533328135
216	0.5533247558
217	0.5532018234
218	0.5530466744
219	0.5530295739
220	0.5529743277
221	0.552841335
222	0.5527409184
223	0.5527269488
224	0.5526916256
225	0.5526427615
226	0.5524478113
227	0.5524211094
228	0.5523853505
229	0.5523790258
230	0.552275128
231	0.5522751076
232	0.5521788553
233	0.5521577085
234	0.5519902558
235	0.5518566229
236	0.551820617
237	0.5517408508
238	0.5516291314
239	0.5515833091
240	0.5514567683
241	0.5514325738
242	0.5514202896
243	0.5513618476
244	0.5512561908
245	0.5512204382
246	0.5511272461
247	0.5510991591
248	0.5509943139
249	0.5509865412
250	0.5508838265
251	0.550818558
252	0.5507358368
253	0.5505429598
254	0.5505267204
255	0.5504800523
256	0.5504077146
257	0.5504077141
258	0.5503249397
259	0.5502704138
260	0.5502619679
261	0.5502063672
262	0.550123525
263	0.5499935509
264	0.5498752242
265	0.5498033676
266	0.5497569918
267	0.5496672514
268	0.5496655553
269	0.5495491001
270	0.5494698412
271	0.5494561878
272	0.5493836574
273	0.5492952779
274	0.5492444723
275	0.5492419229
276	0.5492049748
277	0.549117178
278	0.5490998442
279	0.5490998442
280	0.5490663247
281	0.5490301339
282	0.5490268814
283	0.5489482453
284	0.5488863451
285	0.5487882604
286	0.5487421099
287	0.548740851
288	0.5486095952
289	0.5485229563
290	0.5484119572
291	0.5484053046
292	0.5483659827
293	0.5482995118
294	0.5482178074
295	0.5481916976
296	0.5480913925
297	0.5479316806
298	0.5478637351
299	0.5478045443
300	0.5476921112
301	0.547604998
302	0.5475187
303	0.5474313736
304	0.547382457
305	0.547318812
306	0.5473067506
307	0.5473062154
308	0.5472869612
309	0.5472803072
310	0.5472803072
311	0.5471646404
312	0.5471627283
313	0.5471231014
314	0.5470608439
315	0.5469755577
316	0.5469302773
317	0.5468690894
318	0.5468690894
319	0.5467939721
320	0.5467457246
321	0.5467106951
322	0.5466658938
323	0.5465737449
324	0.5464900473
325	0.5464900472
326	0.5463838081
327	0.5462602737
328	0.546109368
329	0.5460829381
330	0.546067971
331	0.5460627151
332	0.5460589533
333	0.5460082335
334	0.5459617844
335	0.5459374732
336	0.5458605728
337	0.5458043714
338	0.54569421
339	0.5456720438
340	0.5455329554
341	0.5455312214
342	0.5454284341
343	0.5453702164
344	0.5452790301
345	0.5451831706
346	0.5451831705
347	0.5451590422
348	0.5451590422
349	0.5450435187
350	0.5450395921
351	0.5450186871
352	0.5450186871
353	0.5449897827
354	0.544920523
355	0.544858851
356	0.544783335
357	0.5447135306
358	0.5447042822
359	0.5446474806
360	0.5446445363
361	0.5446014821
362	0.5444284663
363	0.5443751728
364	0.5443721562
365	0.5443720996
366	0.5442576949
367	0.544190478
368	0.5441853462
369	0.5440696491
370	0.5439908721
371	0.543888734
372	0.5437833487
373	0.5437250377
374	0.5436425617
375	0.5435921755
376	0.5435921755
377	0.5435372121
378	0.5435073639
379	0.5433576221
380	0.5432773748
381	0.5432298554
382	0.5431523071
383	0.5431511804
384	0.5430438658
385	0.5430032311
386	0.5428852974
387	0.5427552943
388	0.5427515208
389	0.5427203289
390	0.5427203289
391	0.5426500086
392	0.5425645494
393	0.5425631739
394	0.5424991838
395	0.5424508016
396	0.5423189254
397	0.5423002338
398	0.5423002338
399	0.5422191586
400	0.5421648217
401	0.5421324534
402	0.542011812
403	0.5419715232
404	0.5419053423
405	0.541803623
406	0.5417444012
407	0.5416778274
408	0.5416730325
409	0.5416345422
410	0.5415367675
411	0.5414513857
412	0.5414513855
413	0.5413746692
414	0.5413306745
415	0.5413306744
416	0.5413302216
417	0.5412294208
418	0.5411550115
419	0.5411010753
420	0.5410410398
421	0.5409772933
422	0.540900783
423	0.5408207662
424	0.5407738197
425	0.5407197069
426	0.5406187358
427	0.5405663139
428	0.540486433
429	0.5404093148
430	0.5403275956
431	0.5402282761
432	0.5401218734
433	0.540056731
434	0.5399674338
435	0.5398530805
436	0.5397799887
437	0.5396434183
438	0.5395536212
439	0.5395461837
440	0.5394288718
441	0.5394254966
442	0.5393627253
443	0.5392536529
444	0.539253507
445	0.5391644463
446	0.5391538772
447	0.5390827003
448	0.5390815346
449	0.5389966531
450	0.5389030091
451	0.5388145694
452	0.5387535877
453	0.538672755
454	0.5384854382
455	0.5384250147
456	0.5383257598
457	0.5383233151
458	0.5383196518
459	0.5382553657
460	0.5381470369
461	0.5381410563
462	0.5380573634
463	0.5380527889
464	0.5379188894
465	0.5378775882
466	0.5377980347
467	0.5376446303
468	0.5376031527
469	0.5375088437
470	0.537418542
471	0.5373884351
472	0.537358259
473	0.5372340532
474	0.5371912088
475	0.5371224569
476	0.537034357
477	0.5369766998
478	0.5368327099
479	0.5367516184
480	0.5367371822
481	0.5366560442
482	0.5366017407
483	0.5365707963
484	0.5364258378
485	0.5364252696
486	0.5363583517
487	0.5363148932
488	0.5363093443
489	0.5362351529
490	0.5362334872
491	0.5361665992
492	0.5361157527
493	0.5360355673
494	0.5360153489
495	0.5358938398
496	0.5358030142
497	0.5356916063
498	0.5356051344
499	0.5355316415
500	0.5353778491
501	0.5352922736
502	0.5352264095
503	0.5352169535
504	0.5352159594
505	0.5351615409
506	0.5350780064
507	0.5349964682
508	0.5349056736
509	0.5348693076
510	0.5348465396
511	0.5347254473
512	0.5346932743
513	0.534644875
514	0.5345973059
515	0.5345185915
516	0.5345168037
517	0.5344145873
518	0.5342694222
519	0.5341905968
520	0.5340732107
521	0.5340421231
522	0.533977961
523	0.5339353449
524	0.5338824936
525	0.5338671083
526	0.5338351684
527	0.5337438375
528	0.533732657
529	0.5336491743
530	0.5336468653
531	0.5335621944
532	0.5334735471
533	0.5334535928
534	0.5333735544
535	0.5333241117
536	0.5332230087
537	0.5331916331
538	0.5331901519
539	0.5330794424
540	0.5329503233
541	0.5329253797
542	0.5328011707
543	0.5327130861
544	0.5326704538
545	0.5325745946
546	0.5325741456
547	0.5325515855
548	0.5324553237
549	0.5323385805
550	0.5323375216
551	0.532187604
552	0.5321059932
553	0.531969777
554	0.531917466
555	0.5318219044
556	0.5317094312
557	0.5316494305
558	0.5314867425
559	0.5314078619
560	0.5312765581
561	0.5311496003
562	0.5311439631
563	0.5310669459
564	0.5309713998
565	0.5308674815
566	0.5307487533
567	0.5306720441
568	0.5305533101
569	0.5304815291
570	0.5304490354
571	0.5303991056
572	0.5302682943
573	0.5301831247
574	0.5299940675
575	0.5298580547
576	0.5298137927
577	0.5296861104
578	0.5296571524
579	0.5295846277
580	0.5294993014
581	0.5293772187
582	0.5293009807
583	0.529240583
584	0.5291544392
585	0.5291497264
586	0.5291377031
587	0.5289615818
588	0.5288578183
589	0.5287462499
590	0.5286644007
591	0.5286318625
592	0.5284587128
593	0.5282594807
594	0.5281786115
595	0.5281068481
596	0.5280755333
597	0.5280203973
598	0.527954029
599	0.5278236923
600	0.5277581695
601	0.5276950545
602	0.5275553801
603	0.5274401121
604	0.5273590141
605	0.5273576494
606	0.5271987128
607	0.5270860234
608	0.5269804953
609	0.5269359959
610	0.5269162725
611	0.5268158089
612	0.5267733152
613	0.5266999755
614	0.5265711509
615	0.5265125567
616	0.5264388613
617	0.526366291
618	0.5262517974
619	0.5261148613
620	0.5260689933
621	0.5260256567
622	0.5259889726
623	0.5259469466
624	0.5258845343
625	0.5257656586
626	0.5256359315
627	0.5255847982
628	0.525422128
629	0.5252461341
630	0.5251330098
631	0.5250096405
632	0.5248788015
633	0.5247487133
634	0.5246510497
635	0.5246002547
636	0.5244691742
637	0.5243826824
638	0.5243613158
639	0.5242794654
640	0.5242316856
641	0.5241984385
642	0.5241508213
643	0.5239430081
644	0.5239036512
645	0.5237365014
646	0.523525584
647	0.5234967148
648	0.5234170076
649	0.5233245972
650	0.5231921782
651	0.5231243108
652	0.522952469
653	0.5228413008
654	0.5227223003
655	0.5225967666
656	0.5224282881
657	0.5224000788
658	0.5223872087
659	0.5222573175
660	0.5221814924
661	0.5221118143
662	0.5220338576
663	0.5219689977
664	0.5219155029
665	0.5217550786
666	0.5217185232
667	0.5216470752
668	0.5215808947
669	0.5214566141
670	0.5213459558
671	0.5212673929
672	0.5212167375
673	0.5211394602
674	0.5210039089
675	0.5209149425
676	0.520856463
677	0.5207988725
678	0.5207669124
679	0.5206841376
680	0.5206651224
681	0.5205259807
682	0.5205128069
683	0.5204042736
684	0.5203481551
685	0.5202858672
686	0.5202777095
687	0.5202007725
688	0.5201789656
689	0.5200119353
690	0.519872199
691	0.5197756532
692	0.5196722181
693	0.5196583237
694	0.5195266502
695	0.519499947
696	0.5194349482
697	0.5193169166
698	0.5192215726
699	0.5191244537
700	0.5190206825
701	0.5189438229
702	0.5188911136
703	0.5187324447
704	0.5186373589
705	0.5185493735
706	0.5185260906
707	0.5183441343
708	0.5183200073
709	0.5182945796
710	0.5182620355
711	0.5181596811
712	0.5181334937
713	0.518123533
714	0.5180374116
715	0.5179924673
716	0.5178814539
717	0.5178647613
718	0.5178363694
719	0.5178075328
720	0.517801183
721	0.5176584171
722	0.5175917539
723	0.5175839812
724	0.5175457903
725	0.5175205223
726	0.5173430119
727	0.5172443404
728	0.517113027
729	0.5170207527
730	0.5169987359
731	0.5169582359
732	0.5169028522
733	0.5167558458
734	0.5167054468
735	0.5166174282
736	0.5165204944
737	0.5163900799
738	0.5162649976
739	0.5162311922
740	0.5161689229
