iter	Passed	Remaining
414	3159	4453
415	3169	4449
416	3178	4443
417	3186	4436
418	3190	4424
419	3196	4414
420	3203	4406
421	3212	4400
422	3222	4395
423	3225	4381
424	3234	4375
425	3248	4377
426	3263	4379
427	3271	4372
428	3280	4366
429	3288	4359
430	3296	4352
431	3305	4346
432	3313	4338
433	3321	4332
434	3330	4325
435	3337	4317
436	3346	4311
437	3354	4304
438	3363	4297
439	3371	4290
440	3378	4283
441	3386	4275
442	3393	4266
443	3404	4262
444	3412	4256
445	3421	4250
446	3431	4244
447	3440	4238
448	3449	4233
449	3458	4226
450	3466	4220
451	3475	4213
452	3482	4205
453	3490	4197
454	3495	4187
455	3504	4180
456	3511	4172
457	3515	4160
458	3520	4149
459	3529	4143
460	3538	4137
461	3545	4128
462	3551	4118
463	3558	4110
464	3566	4103
465	3575	4097
466	3583	4089
467	3590	4081
468	3596	4072
469	3604	4064
470	3613	4058
471	3621	4051
472	3631	4045
473	3640	4040
474	3648	4033
475	3656	4025
476	3665	4019
477	3675	4013
478	3683	4006
479	3692	3999
480	3700	3993
481	3707	3984
482	3715	3977
483	3721	3967
484	3728	3959
485	3736	3952
486	3745	3945
487	3753	3938
488	3761	3931
489	3770	3923
490	3777	3915
491	3785	3908
492	3795	3902
493	3803	3895
494	3808	3885
495	3816	3878
496	3824	3870
497	3832	3863
498	3840	3855
499	3848	3848
500	3852	3837
501	3860	3829
502	3867	3821
503	3875	3814
504	3884	3807
505	3891	3799
506	3899	3792
507	3909	3786
508	3916	3778
509	3924	3770
510	3932	3762
511	3941	3756
512	3950	3749
513	3957	3742
514	3966	3735
515	3969	3722
516	3977	3715
517	3985	3708
518	3993	3701
519	3998	3690
520	4005	3682
521	4012	3674
522	4019	3666
523	4026	3658
524	4035	3650
525	4042	3642
526	4045	3630
527	4053	3623
528	4061	3615
529	4069	3608
530	4077	3601
531	4084	3593
532	4091	3585
533	4100	3578
534	4108	3570
535	4115	3562
536	4122	3554
537	4130	3546
538	4138	3539
539	4146	3531
540	4153	3523
541	4161	3516
542	4168	3508
543	4175	3500
544	4183	3492
545	4192	3486
546	4200	3478
547	4208	3471
548	4215	3463
549	4224	3456
550	4232	3448
551	4239	3440
552	4247	3433
553	4255	3425
554	4262	3417
555	4265	3406
556	4273	3398
557	4280	3390
558	4289	3383
559	4296	3375
560	4303	3367
561	4307	3357
562	4315	3349
563	4322	3341
564	4328	3332
565	4335	3324
566	4342	3316
567	4350	3308
568	4358	3301
569	4365	3293
570	4374	3286
571	4381	3278
572	4389	3270
573	4396	3263
574	4404	3255
575	4412	3247
576	4420	3240
577	4428	3233
578	4435	3224
579	4443	3217
580	4451	3210
581	4459	3202
582	4467	3195
583	4475	3187
584	4484	3181
585	4490	3172
586	4498	3165
587	4505	3156
588	4513	3149
589	4520	3141
590	4528	3133
591	4535	3125
592	4542	3117
593	4550	3110
594	4555	3100
595	4562	3092
596	4569	3084
597	4577	3077
598	4584	3069
599	4592	3061
600	4600	3054
601	4608	3046
602	4617	3039
603	4626	3033
604	4635	3026
605	4642	3018
606	4650	3011
607	4658	3003
608	4665	2995
609	4673	2988
610	4681	2980
611	4688	2972
612	4695	2964
613	4703	2956
614	4710	2948
615	4719	2941
616	4726	2934
617	4733	2925
618	4739	2917
619	4747	2909
620	4755	2902
621	4762	2894
622	4769	2886
623	4777	2878
624	4786	2871
625	4796	2865
626	4804	2858
627	4811	2850
628	4822	2844
629	4831	2837
630	4839	2830
631	4849	2823
632	4857	2816
633	4865	2808
634	4872	2800
635	4878	2792
636	4888	2785
637	4896	2778
638	4902	2769
639	4911	2762
640	4916	2753
641	4923	2745
642	4931	2737
643	4938	2730
644	4946	2722
645	4955	2715
646	4963	2707
647	4971	2700
648	4980	2693
649	4985	2684
650	4993	2676
651	5001	2669
652	5009	2662
653	5017	2654
654	5024	2646
655	5033	2639
656	5041	2631
657	5049	2624
658	5055	2615
659	5063	2608
660	5071	2600
661	5080	2594
662	5088	2586
663	5096	2578
664	5103	2570
665	5108	2562
666	5116	2554
667	5123	2546
668	5132	2539
669	5140	2531
670	5148	2524
671	5155	2516
672	5163	2508
673	5170	2500
674	5178	2493
675	5186	2485
676	5193	2477
677	5201	2470
678	5207	2462
679	5215	2454
680	5222	2446
681	5229	2438
682	5237	2430
683	5245	2423
684	5252	2415
685	5258	2406
686	5265	2398
