iter	Logloss
0	0.6887632371
1	0.6844939709
2	0.68043543
3	0.6764428916
4	0.6735365947
5	0.6696952349
6	0.6657923639
7	0.6627227488
8	0.6596386663
9	0.6564500138
10	0.6533824418
11	0.6504416027
12	0.6476862888
13	0.6449958956
14	0.6424128296
15	0.6397071021
16	0.6373250311
17	0.634759279
18	0.6325709038
19	0.6310218834
20	0.6286931506
21	0.6272074953
22	0.6249936128
23	0.6229541053
24	0.6210202539
25	0.6190385799
26	0.6180148914
27	0.6162484742
28	0.6148983576
29	0.6135201731
30	0.6121685787
31	0.6105438751
32	0.6090496643
33	0.6077862395
34	0.606595816
35	0.6052805183
36	0.6039667052
37	0.6027925594
38	0.6015276741
39	0.6004010511
40	0.5991662706
41	0.5980841538
42	0.5971166081
43	0.5960072591
44	0.595215941
45	0.5940513109
46	0.5931638099
47	0.5923644794
48	0.5914251925
49	0.5904704545
50	0.5895738868
51	0.5888032291
52	0.5883110996
53	0.5876676228
54	0.5868652878
55	0.5863171712
56	0.585624904
57	0.585010889
58	0.5842476143
59	0.5837024904
60	0.5830511358
61	0.5824039516
62	0.5818968483
63	0.5813449605
64	0.5807475478
65	0.5804297521
66	0.5801785789
67	0.5797635332
68	0.5792887873
69	0.5786525175
70	0.5783315972
71	0.5778312075
72	0.577356013
73	0.5769781781
74	0.5764904341
75	0.5759965316
76	0.5755485142
77	0.5752838749
78	0.5748440602
79	0.574365615
80	0.5739712148
81	0.5735461582
82	0.5731634939
83	0.5728736342
84	0.5723866171
85	0.5719819112
86	0.5716951545
87	0.5713867792
88	0.5712916784
89	0.5710595555
90	0.570737413
91	0.5704507764
92	0.5701517374
93	0.5697920381
94	0.5695095987
95	0.5692366133
96	0.5690409611
97	0.568896233
98	0.5685873153
99	0.5683914982
100	0.5680991767
101	0.5677963255
102	0.5676324492
103	0.5674301722
104	0.5673027291
105	0.5670059622
106	0.5667556208
107	0.5665140583
108	0.5663127901
109	0.5660953543
110	0.5660153889
111	0.5657943027
112	0.5655659951
113	0.56538218
114	0.5651529468
115	0.5649066783
116	0.5646658933
117	0.5644950675
118	0.5644705031
119	0.564330024
120	0.5640627375
121	0.5638969286
122	0.5638018757
123	0.5636835474
124	0.5635505002
125	0.5633722619
126	0.5632298846
127	0.5630752264
128	0.5629740642
129	0.562919965
130	0.5627702502
131	0.5625739966
132	0.5624012277
133	0.5621868696
134	0.5620407055
135	0.561972989
136	0.5618853533
137	0.5618186417
138	0.5617328465
139	0.5616280486
140	0.5615255056
141	0.5614327349
142	0.5612428161
143	0.5610907365
144	0.5609606151
145	0.5608149743
146	0.5607307465
147	0.5606771932
148	0.5605355954
149	0.5603535674
150	0.560227522
151	0.5601730347
152	0.5600375815
153	0.5599251488
154	0.5597659611
155	0.5597277329
156	0.5596234148
157	0.5595206727
158	0.5594279551
159	0.5592624801
160	0.5591471867
161	0.5590466315
162	0.5589800448
163	0.558953431
164	0.5588543084
165	0.5587366657
166	0.558644036
167	0.5584995435
168	0.5584828464
169	0.5584556224
170	0.558412851
171	0.5582915165
172	0.558279031
173	0.5582355587
174	0.5582229391
175	0.5581090642
176	0.558007274
177	0.5579297759
178	0.5579193008
179	0.5578366202
180	0.5577755673
181	0.5576269883
182	0.5575234366
183	0.5574338263
184	0.5574234789
185	0.5573787213
186	0.557268197
187	0.5572083626
188	0.5571301082
189	0.5570540546
190	0.5570131329
191	0.5568842495
192	0.5567919894
193	0.5567461207
194	0.5566808968
195	0.5566430194
196	0.5566182947
197	0.5565081778
198	0.5563735635
199	0.5563222674
200	0.5562744047
201	0.5562242386
202	0.5561190712
203	0.5560444063
204	0.5560247766
205	0.5559623821
206	0.5559171967
207	0.5558861974
208	0.5558491616
209	0.5557176797
210	0.5555946348
211	0.5555038021
212	0.5554235502
213	0.5553276209
214	0.5552124143
215	0.555139513
216	0.5550269327
217	0.5549879223
218	0.5549879222
219	0.5549879221
220	0.5548949262
221	0.5548175795
222	0.5547831803
223	0.5546991065
224	0.554633038
225	0.5545243378
226	0.5544576459
227	0.5543888718
228	0.5543257762
229	0.5542443745
230	0.5541485354
231	0.5541419769
232	0.5541294445
233	0.5541205133
234	0.5540759332
235	0.5540175783
236	0.5539284065
237	0.553862232
238	0.5538574424
239	0.5537360881
240	0.5536639623
241	0.5536419969
242	0.5536082605
243	0.5535639447
244	0.5535384448
245	0.5535299598
246	0.5534763967
247	0.5534700561
248	0.5534610776
249	0.5534585227
250	0.5534155909
251	0.5533175655
252	0.5532406262
253	0.5531617745
254	0.5531326129
255	0.5531007773
256	0.5530286654
257	0.5530204482
258	0.5530058312
259	0.5529534114
260	0.5529534114
261	0.5528675154
262	0.5528675154
263	0.5528423808
264	0.5528251439
265	0.5527676814
266	0.5527511786
267	0.5527153058
268	0.5526504219
269	0.5526482804
270	0.5525545782
271	0.5524799017
272	0.5523599285
273	0.5523551353
274	0.5523013016
275	0.5522266394
276	0.5522216322
277	0.5521812373
278	0.5521129025
279	0.5521060155
280	0.5520783565
281	0.5520760205
282	0.5519996934
283	0.5519996934
284	0.5519425815
285	0.5519396113
286	0.551835264
287	0.5518162642
288	0.5518154459
289	0.5517713041
290	0.5517061409
291	0.5516387271
292	0.5516387271
293	0.5516065153
294	0.5515205095
295	0.5514533192
296	0.5514063431
297	0.5513985359
298	0.5513985358
299	0.5513180251
300	0.5512509867
301	0.5512434345
302	0.551208192
303	0.5511645443
304	0.5511451944
305	0.5510613036
306	0.5509512395
307	0.5509373456
308	0.5509056849
309	0.5508597664
310	0.5507312517
311	0.5507103889
312	0.5506610127
313	0.5506468082
314	0.5506260553
315	0.5505717159
316	0.5505717159
317	0.5505531272
318	0.5504492405
319	0.550448239
320	0.5504428077
321	0.5504152274
322	0.5503741168
323	0.5503694424
324	0.5503338615
325	0.5502814476
326	0.550202757
327	0.5501670924
328	0.5501118409
329	0.5500749036
330	0.5500363285
331	0.5499879578
332	0.5499850728
333	0.5499850727
334	0.5499097012
335	0.5498336731
336	0.5498295476
337	0.5496986549
338	0.5496516499
339	0.5496127911
340	0.5495966409
341	0.5495719705
342	0.5495469001
343	0.549477029
344	0.5494031858
345	0.5493655311
346	0.5492942584
347	0.549294258
348	0.5492276848
349	0.5492276843
350	0.5491612704
351	0.549103127
352	0.5490401351
353	0.5490401347
354	0.5489651814
355	0.5489446607
356	0.5489231681
357	0.5488482139
358	0.5488187948
359	0.5488160543
360	0.5487253834
361	0.5486384756
362	0.5486284099
363	0.5485842371
364	0.5485275073
365	0.5484995711
366	0.5484138401
367	0.5483885959
368	0.5483830249
369	0.5483185155
370	0.5483185153
371	0.5483067462
372	0.5482498285
373	0.5481908734
374	0.5481247586
375	0.548058466
376	0.5480409075
377	0.5479610516
378	0.5479440936
379	0.5479036524
380	0.5478650536
381	0.5478507712
382	0.5478479301
383	0.5477561409
384	0.5477334422
385	0.5477244812
386	0.5477161905
387	0.5476894277
388	0.5476633159
389	0.5476570778
390	0.5476370708
391	0.5475575848
392	0.5475088226
393	0.5474697418
394	0.5474442786
395	0.5474409789
396	0.5474019014
397	0.5473817209
398	0.5473613553
399	0.5472918275
400	0.5472753812
401	0.5472497383
402	0.5471839308
403	0.5471442971
404	0.5471407432
405	0.5471136791
406	0.5470394129
407	0.5469856134
408	0.5469715612
409	0.5469135419
410	0.5468382819
411	0.5467944286
412	0.54676389
413	0.5467027713
414	0.5466353785
415	0.5466161837
416	0.5466156235
417	0.5465527374
418	0.5465523661
419	0.5465515188
420	0.5465484929
421	0.5464983218
422	0.5464392294
423	0.5464392294
424	0.5463819321
425	0.5462924936
426	0.5462654506
427	0.5462372596
428	0.5461986851
429	0.5461840032
430	0.54616882
431	0.5461334912
432	0.5461241226
433	0.5460839676
434	0.5460609409
435	0.5460367115
436	0.5459975741
437	0.5459466116
438	0.5458695823
439	0.5458124254
440	0.5457868432
441	0.5457712587
442	0.5457535682
443	0.5456854099
444	0.5456623629
445	0.5456089691
446	0.5455507155
447	0.5455396489
448	0.5454521143
449	0.5454116962
450	0.5453831478
451	0.5453564494
452	0.5453468736
453	0.5453280047
454	0.5453250185
455	0.5453032193
456	0.5452806809
457	0.5452781529
458	0.5452781521
459	0.5452185129
460	0.5451379095
461	0.5450895713
462	0.5450882083
463	0.5450275831
464	0.5449900008
465	0.5449673166
466	0.5449387925
467	0.5449043695
468	0.5449036357
469	0.5448721733
470	0.5448062394
471	0.5447761069
472	0.5447073022
473	0.5446399003
474	0.5446120369
475	0.5445714925
476	0.5445150541
477	0.5444775115
478	0.544413039
479	0.5443388869
480	0.5443037403
481	0.5442933502
482	0.5442534535
483	0.5442492215
484	0.5442022644
485	0.5441684106
486	0.5441427599
487	0.5441110764
488	0.5440531593
489	0.5440022863
490	0.543929144
491	0.5438834062
492	0.5438394208
493	0.5438095113
494	0.5438092976
495	0.5437377743
496	0.5436987528
497	0.543651571
498	0.5435995034
499	0.5435505663
500	0.5435494695
501	0.5434671706
502	0.5434448156
503	0.5433965125
504	0.5433624677
505	0.5433379237
506	0.5432413512
507	0.543138356
508	0.5431076189
509	0.5430663088
510	0.5430008005
511	0.5429108469
512	0.5428772798
513	0.5428246109
514	0.5427797593
515	0.5427797593
516	0.5427038336
517	0.5426785997
518	0.5426564846
519	0.5426563436
520	0.5426012218
521	0.5425638884
522	0.5425037252
523	0.5424218034
524	0.5423641291
525	0.5423002141
526	0.5423002126
527	0.5422655979
528	0.5421824192
529	0.5421017016
530	0.5420741767
531	0.5420242055
532	0.5420144675
533	0.5419754871
534	0.5419568789
535	0.5418557424
536	0.5418232556
537	0.5417790751
538	0.5417577457
539	0.5417001866
540	0.5416741709
541	0.5416401165
542	0.5415558685
543	0.5414769188
544	0.5414227947
